Time,7Li,24Mg,43Ca,66Zn,86Sr,88Sr,111Cd,137Ba,138Ba,208Pb
0.00824,0,3400.462463,3400.462463,3000.360043,2400.230422,0,0,0,0,0
0.1785,0,5201.081825,2200.193617,2600.270428,1200.057603,0,0,0,0,0
0.34871,0,5601.254681,3000.360043,2400.230422,1600.102407,0,0,0,0,0
0.51893,200.0016,4400.774536,3400.462463,2000.160013,2000.160013,0,0,0,0,0
0.68915,0,6201.537981,3400.462463,1600.102407,1000.040002,0,0,0,0,0
0.85938,0,5201.081825,4200.705719,3000.360043,2400.230422,0,0,0,0,0
1.02966,0,5001.0002,2600.270428,3000.360043,3200.409652,0,0,0,0,0
1.1998,0,5201.081825,3200.409652,2400.230422,800.0256008,0,0,0,0,0
1.37003,0,5001.0002,2400.230422,2400.230422,1200.057603,0,0,0,0,0
1.54024,200.0016,3800.577688,2800.313635,2000.160013,2000.160013,0,0,0,0,0
1.71043,0,3800.577688,1400.078404,2000.160013,1400.078404,0,0,0,0,200.0016
1.88066,0,6201.537981,3400.462463,3000.360043,2400.230422,0,0,0,0,0
2.05104,0,5801.345912,2600.270428,3400.462463,2400.230422,0,0,0,0,0
2.22126,0,6001.440346,2600.270428,3200.409652,2400.230422,0,0,0,0,0
2.39148,0,6801.850103,4800.921777,3000.360043,2200.193617,0,0,0,0,0
2.56168,200.0016,5601.254681,3400.462463,2200.193617,1600.102407,0,0,0,0,0
2.73196,0,6401.63882,2600.270428,2000.160013,2800.313635,0,0,0,0,0
2.90219,0,4400.774536,2400.230422,2200.193617,2000.160013,0,0,0,0,0
3.07234,0,4200.705719,2800.313635,1600.102407,1800.129609,0,0,0,0,0
3.24255,0,5801.345912,4200.705719,1400.078404,2000.160013,0,0,0,0,0
3.41277,0,5201.081825,4600.846556,2800.313635,1800.129609,0,0,0,0,0
3.58298,0,4000.640102,4000.640102,3200.409652,1600.102407,0,0,0,0,0
3.75327,0,6001.440346,3000.360043,1000.040002,2600.270428,0,0,0,0,0
3.92349,0,5201.081825,2200.193617,1400.078404,2400.230422,0,0,0,0,0
4.09363,0,4000.640102,1800.129609,3000.360043,1400.078404,0,0,0,0,0
4.26384,0,10204.1633,4800.921777,4200.705719,800.0256008,1400.078404,0,0,0,200.0016
4.43406,0,27029.19153,2000.160013,5401.166652,2200.193617,2200.193617,0,0,800.0256008,200.0016
4.60427,0,64968.39809,4400.774536,6601.74286,2200.193617,1400.078404,0,200.0016,200.0016,200.0016
4.77457,200.0016,45081.14606,4800.921777,4600.846556,2600.270428,2000.160013,0,0,600.0144003,400.0064001
4.9448,0,92944.26556,34447.39962,5401.166652,3200.409652,1000.040002,0,0,0,200.0016
5.11497,0,22620.44889,4200.705719,5601.254681,2000.160013,22019.37705,0,200.0016,0,200.0016
5.28515,0,402973.1807,6801.850103,4400.774536,2800.313635,1800.129609,0,0,0,0
5.45537,0,237841.4175,19014.45098,10004.0016,3000.360043,20416.65999,0,0,400.0064001,0
5.62557,200.0016,143013.4606,261602.0985,9803.843106,2000.160013,5201.081825,0,0,0,400.0064001
5.79586,0,71001.07504,96974.71028,7802.43436,3000.360043,15609.74048,0,0,200.0016,0
5.96609,0,149690.9606,164069.7347,7202.074197,3400.462463,25425.83265,0,0,200.0016,200.0016
6.13624,0,225007.063,435454.9894,17011.56787,6601.74286,64365.29006,0,0,400.0064001,400.0064001
6.30644,0,249872.7406,340371.875,11205.01985,6001.440346,42271.35405,200.0016,0,0,0
6.47667,400.0064001,279694.5404,726940.4288,22820.81258,11405.20077,75829.30783,0,0,0,400.0064001
6.64688,0,573459.2502,608876.6513,20216.3348,10604.49631,78445.37714,0,0,0,200.0016
6.81717,0,294017.6613,675153.8455,24223.4483,15809.99191,160828.0127,0,0,1200.057603,400.0064001
6.98739,0,290742.3743,714873.4828,24824.62603,18012.96934,122194.3533,0,200.0016,400.0064001,200.0016
7.15754,0,426762.7866,710642.149,44880.42572,21217.99286,139574.92,0,0,800.0256008,0
7.32775,0,334619.6564,764696.1827,56728.43317,24223.4483,145441.2321,200.0016,0,400.0064001,0
7.49798,200.0016,621054.3576,1115442.793,74219.69028,32843.09013,240083.6759,0,0,200.0016,200.0016
7.66834,0,329280.6484,671357.3371,51305.07279,25425.83265,140788.4151,0,0,800.0256008,400.0064001
7.83857,0,706623.6715,1344185.733,101409.6952,34647.95277,195110.9391,0,0,800.0256008,0
8.00878,0,437732.5009,659763.8481,66978.9678,23221.5496,185567.2596,0,400.0064001,1400.078404,200.0016
8.179,0,536470.1652,1152816.135,71202.21429,19214.75693,150500.5956,0,0,600.0144003,200.0016
8.34921,0,435247.9631,837550.0215,57130.25699,23021.17949,198158.317,0,0,800.0256008,200.0016
8.51943,0,545446.3709,1223702.871,58536.74183,24824.62603,220121.218,0,0,1000.040002,2000.160013
8.68973,400.0064001,415182.42,711488.3044,49297.01653,18413.55237,164272.37,0,0,8803.098691,400.0064001
