raw.time,adj.time,7Li,24Mg,43Ca,66Zn,86Sr,88Sr,111Cd,137Ba,138Ba,208Pb
62.81902,0,200.0016,38659.69056,263957.8314,3800.577688,71202.21429,492307.4413,0,600.0144003,400.0064001,0
62.98916,0.17014,200.0016,44880.42572,342632.3899,2000.160013,71202.21429,536887.5233,0,400.0064001,200.0016,0
63.15937,0.34035,400.0064001,41669.33778,323943.8902,1400.078404,69392.07727,590631.7815,0,600.0144003,200.0016,0
63.32959,0.51057,200.0016,30437.01141,264979.1008,2600.270428,70799.93903,654918.7663,0,0,200.0016,0
63.49997,0.68095,0,26427.90787,317583.7708,3400.462463,102821.1555,757475.8498,0,0,600.0144003,0
63.67026,0.85124,600.0144003,21819.02619,369996.022,1800.129609,115329.5935,772345.6546,0,0,800.0256008,200.0016
63.8404,1.02138,400.0064001,22219.73112,425521.5283,2000.160013,58335.80576,627357.7169,0,400.0064001,800.0256008,0
64.01061,1.19159,200.0016,26427.90787,370201.9874,2400.230422,83276.47791,673255.4509,0,600.0144003,2600.270428,0
64.18081,1.36179,200.0016,29635.08794,408156.6281,3000.360043,109073.8167,1064255.688,0,200.0016,800.0256008,0
64.35103,1.53201,800.0256008,16410.76546,399483.0697,1600.102407,105442.86,858502.2755,0,0,1000.040002,0
64.52126,1.70224,200.0016,15809.99191,408363.2136,2200.193617,83276.47791,707258.0844,0,200.0016,200.0016,0
64.69154,1.87252,400.0064001,20016.01281,467169.7621,3200.409652,92742.7773,671568.2248,0,0,800.0256008,0
64.86168,2.04266,400.0064001,21217.99286,417042.8389,1600.102407,55322.15131,600694.7005,0,200.0016,600.0144003,0
65.03191,2.21289,600.0144003,12005.76277,378649.4498,2800.313635,111696.8275,691407.1492,0,400.0064001,1000.040002,0
65.20212,2.3831,600.0144003,13206.97328,272334.6785,3200.409652,89922.28146,591050.9119,0,200.0016,800.0256008,0
65.37232,2.5533,0,7402.191049,351061.4996,2400.230422,45683.32639,631670.7209,0,0,200.0016,0
65.54254,2.72352,200.0016,7602.311103,281944.2422,1400.078404,48694.66242,296269.9132,0,600.0144003,1000.040002,0
65.71283,2.89381,200.0016,6201.537981,215644.1891,1600.102407,50501.81165,332771.2836,0,0,600.0144003,0
65.88298,3.06396,800.0256008,6601.74286,266817.5938,1000.040002,50301.00442,326817.2498,0,400.0064001,0,0
66.05321,3.23419,200.0016,4000.640102,159207.4648,1200.057603,50702.62211,364436.2196,0,0,1000.040002,0
66.22341,3.40439,200.0016,3800.577688,281739.7073,1400.078404,51907.55245,313072.0754,0,200.0016,200.0016,0
66.39362,3.5746,0,5601.254681,276422.9615,2600.270428,56527.5261,478174.3767,0,400.0064001,600.0144003,0
66.56384,3.74482,0,3800.577688,288695.7507,400.0064001,45281.86962,274378.6547,0,0,1400.078404,0
66.73422,3.9152,400.0064001,6201.537981,321481.5295,2000.160013,41468.67212,358878.8535,0,200.0016,600.0144003,0
66.90443,4.08541,800.0256008,4800.921777,441612.2161,1800.129609,49899.3996,409602.7971,0,200.0016,600.0144003,0
67.07465,4.25563,200.0016,4600.846556,228265.3448,400.0064001,36252.49361,321481.5295,0,0,400.0064001,0
67.24486,4.42584,400.0064001,6001.440346,292175.208,1400.078404,42472.03257,413942.2921,0,200.0016,2200.193617,0
67.41515,4.59613,600.0144003,4800.921777,318199.1266,1200.057603,45683.32639,492931.32,0,0,1000.040002,0
67.58539,4.76637,400.0064001,4000.640102,246200.9517,1000.040002,50301.00442,621684.554,0,400.0064001,400.0064001,0
67.7555,4.93648,0,3800.577688,253341.5222,600.0144003,52510.06109,457418.9028,0,200.0016,200.0016,0
67.92571,5.10669,0,2800.313635,214626.9042,600.0144003,43274.77882,290333.0231,0,200.0016,1200.057603,0
68.09593,5.27691,200.0016,3600.518475,294836.6156,1000.040002,25225.42723,311226.8453,0,400.0064001,600.0144003,0
68.26614,5.44712,200.0016,6001.440346,305692.7686,400.0064001,29835.56399,304258.403,0,200.0016,3000.360043,0
68.43644,5.61742,400.0064001,1400.078404,246608.8755,1800.129609,28231.84552,636818.5734,0,0,800.0256008,0
68.60666,5.78764,400.0064001,3800.577688,352501.1764,1400.078404,41067.35045,318609.3804,0,0,1200.057603,200.0016
68.77679,5.95777,0,5401.166652,165893.5704,800.0256008,57331.17373,344482.2021,0,0,1200.057603,0
68.947,6.12798,200.0016,5801.345912,325380.4885,800.0256008,50301.00442,392878.618,0,0,400.0064001,0
69.11723,6.29821,200.0016,6401.63882,254157.8445,800.0256008,54920.38548,301185.3099,0,400.0064001,600.0144003,400.0064001
69.28743,6.46841,0,4400.774536,237841.4175,1600.102407,33444.6821,428004.1661,0,200.0016,1000.040002,0
69.45766,6.63864,0,4600.846556,246404.9119,1400.078404,53715.16531,359702.0134,0,200.0016,800.0256008,0
69.62794,6.80892,200.0016,4800.921777,215847.6559,200.0016,61350.18525,576598.8443,0,0,1000.040002,200.0016
69.79808,6.97906,200.0016,1400.078404,389990.2502,400.0064001,54116.89249,243957.6063,0,0,400.0064001,0
69.96838,7.14936,200.0016,4000.640102,282966.9663,1400.078404,33645.21917,370407.9562,0,0,1000.040002,0
70.13867,7.31965,0,4400.774536,276831.8626,1200.057603,29033.67907,378237.2479,0,0,400.0064001,0
70.30896,7.48994,800.0256008,4200.705719,273561.0245,600.0144003,89116.54196,518536.665,0,600.0144003,200.0016,0
70.47909,7.66007,400.0064001,7402.191049,263753.5875,400.0064001,44679.7086,497091.2918,0,200.0016,1000.040002,0
70.64933,7.83031,0,3400.462463,437525.4375,1000.040002,39863.46263,327433.0545,0,0,800.0256008,0
70.81952,8.0005,600.0144003,4400.774536,319840.2217,400.0064001,36854.24946,223174.6493,0,200.0016,400.0064001,0
70.98973,8.17071,200.0016,5601.254681,248036.7127,800.0256008,45081.14606,272334.6785,0,0,1000.040002,0
71.15995,8.34093,600.0144003,3800.577688,279899.0422,1400.078404,63963.23417,452857.2359,0,0,1600.102407,0
71.33023,8.51121,400.0064001,4800.921777,298727.3728,1400.078404,41468.67212,335646.6468,0,0,1000.040002,0
71.50048,8.68146,0,4200.705719,350033.2592,1000.040002,48092.33729,302824.2,0,200.0016,600.0144003,400.0064001
71.67061,8.85159,0,5201.081825,254974.2197,400.0064001,39863.46263,321891.8897,0,0,600.0144003,0
71.84082,9.0218,400.0064001,4600.846556,388546.3128,1600.102407,47891.56868,290537.6971,0,200.0016,1600.102407,0
72.01103,9.19201,200.0016,7001.960549,266204.7331,1400.078404,58737.68112,471736.5611,0,0,200.0016,200.0016
72.18124,9.36222,0,6401.63882,239472.1114,1600.102407,53514.30656,449126.1788,0,0,800.0256008,0
72.35153,9.53251,0,3600.518475,231728.1917,1000.040002,53514.30656,355381.0204,0,200.0016,200.0016,0
72.52167,9.70265,400.0064001,5001.0002,461567.2919,2000.160013,36453.07568,279285.5467,0,0,1000.040002,0
