raw.time,adj.time,7Li,24Mg,43Ca,66Zn,86Sr,88Sr,111Cd,137Ba,138Ba,208Pb
79.33184,0,0,40465.39207,182725.8588,1800.129609,42472.03257,350650.1935,0,400.0064001,1400.078404,400.0064001
79.50213,0.17029,400.0064001,32041.0125,195517.2136,4200.705719,57532.09369,359907.8117,0,200.0016,2600.270428,600.0144003
79.67223,0.34039,400.0064001,41468.67212,191658.1351,5001.0002,55723.93002,374940.1151,0,600.0144003,2800.313635,0
79.8425,0.51066,200.0016,34046.30297,272743.4473,5201.081825,45884.0596,409602.7971,0,200.0016,3600.518475,400.0064001
80.01273,0.68089,400.0064001,30036.04325,202629.1383,6601.74286,61953.14818,534592.2228,0,200.0016,2200.193617,400.0064001
80.18286,0.85102,200.0016,37656.63558,237841.4175,5401.166652,56125.72162,533966.3033,0,600.0144003,600.0144003,1000.040002
80.35315,1.02131,0,39261.56213,266409.0167,8002.560819,43074.08743,485654.6347,0,400.0064001,2600.270428,800.0256008
80.52344,1.1916,200.0016,31840.50112,234376.8926,5201.081825,52911.74962,437318.3775,0,400.0064001,2400.230422,400.0064001
80.69359,1.36175,400.0064001,40666.04165,243345.854,7602.311103,43676.17124,389165.123,0,1000.040002,2200.193617,1200.057603
80.86381,1.53197,400.0064001,46486.27853,248648.6923,9803.843106,59943.38458,513119.8668,0,200.0016,3400.462463,1800.129609
81.03401,1.70217,200.0016,36252.49361,246812.8423,10404.3282,60144.34643,483784.1585,0,200.0016,1400.078404,1600.102407
81.20424,1.8724,200.0016,31038.48772,263140.8754,11004.84213,60144.34643,480875.0744,0,0,3000.360043,1000.040002
81.37444,2.0426,0,31038.48772,422212.0985,12205.95651,48092.33729,453064.549,0,200.0016,1800.129609,1000.040002
81.54473,2.21289,600.0144003,32041.0125,697256.8369,14608.53138,365380.6477,484199.7961,0,400.0064001,1800.129609,1800.129609
81.71496,2.38312,0,29835.56399,258648.5613,18012.96934,35650.76669,480459.5452,0,400.0064001,2600.270428,2200.193617
81.88512,2.55328,0,34246.84969,254770.121,18213.25925,50501.81165,421384.8757,0,0,1800.129609,800.0256008
82.05533,2.72349,200.0016,34447.39962,277445.2389,16811.29719,63360.17452,375764.318,0,400.0064001,2600.270428,2400.230422
82.22553,2.89369,600.0144003,23221.5496,297293.7967,20616.9884,59340.51835,465094.4857,0,200.0016,4200.705719,3000.360043
82.39574,3.0639,200.0016,204865.1439,270699.7356,23822.67919,49497.80767,455345.2152,0,1000.040002,1800.129609,3000.360043
82.56602,3.23418,200.0016,31038.48772,261711.3294,30637.5003,45281.86962,524581.1927,0,200.0016,2400.230422,4200.705719
82.73625,3.40441,0,26027.06815,260690.3241,52510.06109,68185.46446,582441.7406,0,600.0144003,2000.160013,4200.705719
82.90639,3.57455,0,27430.06335,312662.001,37656.63558,64968.39809,397831.6347,0,400.0064001,2600.270428,1800.129609
83.07659,3.74475,200.0016,33244.14823,732048.7084,30236.52572,62154.14227,445189.0272,0,400.0064001,2000.160013,2800.313635
83.24681,3.91497,200.0016,25826.65311,291356.426,27830.94801,41468.67212,436904.2677,0,800.0256008,3400.462463,2400.230422
83.41701,4.08517,400.0064001,18613.8487,261711.3294,33444.6821,68788.75635,539183.2365,0,600.0144003,2000.160013,800.0256008
83.5873,4.25546,400.0064001,20616.9884,284194.3444,53514.30656,81263.29307,608876.6513,0,600.0144003,2000.160013,1400.078404
83.75753,4.42569,0,17412.11883,374940.1151,39462.19242,68386.55853,546490.5253,0,200.0016,5201.081825,1400.078404
83.92767,4.59583,400.0064001,28833.21586,414355.6546,39462.19242,62355.13959,440838.8557,0,200.0016,3400.462463,1800.129609
84.09789,4.76605,200.0016,18413.55237,339344.5016,31439.488,46687.02461,477966.6544,0,400.0064001,3200.409652,1400.078404
84.26809,4.93625,200.0016,13807.62181,326406.7299,31439.488,57733.01687,683172.3855,0,600.0144003,3200.409652,200.0016
84.43831,5.10647,200.0016,12806.55696,308766.9569,36051.91476,71604.50246,601953.1218,0,200.0016,1600.102407,800.0256008
84.6086,5.27676,200.0016,14408.29918,342837.9113,34447.39962,71202.21429,531462.9324,0,600.0144003,2200.193617,2200.193617
84.77883,5.44699,200.0016,18213.25925,407123.751,35249.63148,63561.19118,410222.6342,0,400.0064001,3600.518475,1000.040002
84.94897,5.61713,400.0064001,15209.24722,354146.7214,20416.65999,44880.42572,425314.6637,0,600.0144003,2400.230422,600.0144003
85.1192,5.78736,200.0016,10404.3282,347154.6298,12606.3536,62355.13959,473605.2692,0,200.0016,2200.193617,200.0016
85.2894,5.95756,0,15809.99191,282966.9663,13006.76352,62556.14013,581833.2146,0,600.0144003,1600.102407,200.0016
85.45961,6.12777,200.0016,6801.850103,312456.9688,11605.3849,70598.80624,649721.347,0,800.0256008,1200.057603,0
85.62991,6.29807,400.0064001,7802.43436,302619.3272,7202.074197,58536.74183,419937.3653,0,200.0016,1400.078404,1000.040002
85.80013,6.46829,400.0064001,7602.311103,350650.1935,6601.74286,57933.94328,591470.0559,0,200.0016,2800.313635,0
85.97028,6.63844,200.0016,8803.098691,305282.9333,4000.640102,64767.35886,510828.8366,0,200.0016,3000.360043,0
86.14049,6.80865,0,5801.345912,265183.3646,4600.846556,58737.68112,460530.0679,0,0,2000.160013,0
86.31072,6.97888,0,7602.311103,319429.928,2800.313635,53916.02729,567600.7363,0,600.0144003,1800.129609,0
86.48093,7.14909,400.0064001,7202.074197,440424.6312,1400.078404,54518.63254,508330.0002,0,0,3000.360043,0
86.65122,7.31938,0,11004.84213,380092.2617,1800.129609,54116.89249,413528.943,0,600.0144003,2400.230422,0
86.82144,7.4896,200.0016,4800.921777,298727.3728,1200.057603,87706.62235,477551.2201,0,400.0064001,1800.129609,0
86.99159,7.65975,200.0016,7802.43436,319224.7861,2200.193617,76432.96769,529168.6069,0,400.0064001,2400.230422,0
87.1618,7.82996,200.0016,7802.43436,659439.5853,2000.160013,68587.65583,430280.3434,0,400.0064001,1400.078404,0
87.33203,8.00019,200.0016,6601.74286,369996.022,1800.129609,56326.62225,535009.5195,0,1200.057603,2000.160013,200.0016
87.50223,8.17039,0,4600.846556,409602.7971,1600.102407,63360.17452,448711.6844,0,400.0064001,2000.160013,0
87.67245,8.34061,0,9003.241167,331949.8711,200.0016,69995.42723,442081.6101,0,200.0016,1400.078404,200.0016
87.84275,8.51091,600.0144003,4600.846556,315122.6467,600.0144003,52710.90374,482537.3268,0,0,2800.313635,0
88.01289,8.68105,200.0016,5201.081825,342426.8719,1000.040002,63762.21106,391434.352,0,600.0144003,2200.193617,0
88.18312,8.85128,400.0064001,7802.43436,362995.1871,1800.129609,66375.76302,594404.4489,0,400.0064001,2600.270428,0
88.35334,9.0215,0,6201.537981,416629.3889,1200.057603,48694.66242,577436.1996,0,400.0064001,1800.129609,0
88.52355,9.19171,0,6001.440346,333182.0098,1400.078404,51305.07279,477758.9356,0,200.0016,3800.577688,0
88.69377,9.36193,400.0064001,6801.850103,372055.8266,1400.078404,53916.02729,585393.8104,0,600.0144003,2600.270428,0
88.86407,9.53223,400.0064001,4600.846556,333387.3779,1400.078404,55523.03905,606988.0446,0,200.0016,3400.462463,0
89.03419,9.70235,0,4800.921777,609520.8132,600.0144003,57933.94328,634715.5572,0,200.0016,3000.360043,0
89.2044,9.87256,200.0016,9403.535729,408156.6281,800.0256008,64164.26051,469037.8001,200.0016,200.0016,4200.705719,0
89.37461,10.04277,0,9003.241167,375558.2623,0,57733.01687,526457.6628,0,600.0144003,1800.129609,0
89.54481,10.21297,0,6401.63882,265183.3646,400.0064001,49497.80767,533549.0408,0,800.0256008,2000.160013,0
89.71504,10.3832,400.0064001,5401.166652,427797.2611,600.0144003,66576.82806,554010.9576,0,200.0016,3000.360043,0
89.88532,10.55348,600.0144003,6801.850103,386071.3734,1600.102407,54518.63254,470906.1122,0,400.0064001,3400.462463,0
90.05545,10.72361,200.0016,6601.74286,507080.7656,600.0144003,62958.15087,728487.7155,0,200.0016,3000.360043,0
90.2257,10.89386,200.0016,7001.960549,489604.3198,600.0144003,67381.12045,480459.5452,0,200.0016,2400.230422,0
90.3959,11.06406,0,7402.191049,383184.554,1800.129609,67582.20162,492515.3975,0,800.0256008,3400.462463,0
90.56611,11.23427,200.0016,5201.081825,425107.8025,800.0256008,77237.89271,543984.6981,0,400.0064001,2400.230422,0
90.73648,11.40464,200.0016,4400.774536,337906.3187,1000.040002,69593.1907,463641.9934,0,400.0064001,3400.462463,200.0016
90.9067,11.57486,0,6201.537981,365671.5206,600.0144003,55523.03905,557772.8343,0,200.0016,2400.230422,0
91.07691,11.74507,200.0016,7802.43436,395354.8848,1000.040002,58335.80576,478382.1024,0,0,1400.078404,0
91.24715,11.91531,200.0016,6801.850103,410635.8758,1000.040002,68788.75635,564254.2191,0,200.0016,2800.313635,0
91.41734,12.0855,0,7202.074197,349210.727,1200.057603,75024.47322,450162.4738,0,200.0016,1800.129609,0
91.58762,12.25578,200.0016,6001.440346,277445.2389,1600.102407,68989.86009,494595.1458,0,200.0016,2800.313635,0
91.75793,12.42609,400.0064001,5401.166652,398863.7564,200.0016,60747.25134,493555.2292,0,800.0256008,1400.078404,0
91.92816,12.59632,0,7602.311103,365671.5206,800.0256008,67582.20162,449126.1788,0,200.0016,2200.193617,0
92.09837,12.76653,0,8602.959418,357026.9393,1000.040002,58938.62364,475058.8983,0,200.0016,1800.129609,0
92.26861,12.93677,0,6401.63882,479005.2996,1800.129609,56125.72162,594614.0742,0,600.0144003,2400.230422,0
92.43887,13.10703,200.0016,5201.081825,377206.8019,600.0144003,62154.14227,480667.3081,0,400.0064001,2800.313635,0
92.609,13.27716,400.0064001,7602.311103,281330.6474,1400.078404,59541.47053,639875.551,0,200.0016,2800.313635,0
92.77922,13.44738,0,9003.241167,604982.743,800.0256008,121790.4401,474643.5588,0,400.0064001,1400.078404,0
92.94943,13.61759,600.0144003,7802.43436,390196.5404,400.0064001,65772.58727,594194.8271,0,800.0256008,4000.640102,200.0016
93.11964,13.7878,200.0016,9403.535729,418076.5226,800.0256008,61752.15732,680006.5741,0,0,3000.360043,0
93.28987,13.95803,400.0064001,9203.386846,369996.022,600.0144003,84685.8996,684016.7337,0,600.0144003,2000.160013,0
93.46015,14.12831,200.0016,8602.959418,314097.3195,800.0256008,62958.15087,589584.0157,0,200.0016,1400.078404,200.0016
93.63029,14.29845,400.0064001,7602.311103,494387.1557,600.0144003,65571.53514,518119.9066,200.0016,0,3200.409652,200.0016
93.80052,14.46868,0,8202.690482,311636.8732,1400.078404,74420.88118,643129.6927,0,0,2200.193617,0
93.97073,14.63889,0,16611.02972,477758.9356,1200.057603,74219.69028,584555.934,0,0,2000.160013,0
94.14096,14.80912,400.0064001,8803.098691,348593.8628,1200.057603,50301.00442,1051758.019,0,800.0256008,1600.102407,0
94.31116,14.97932,400.0064001,7402.191049,288900.3981,800.0256008,71202.21429,477135.7992,0,0,3000.360043,0
94.48145,15.14961,200.0016,6601.74286,385865.1503,1000.040002,81464.59701,749198.6849,0,200.0016,2200.193617,200.0016
94.65159,15.31975,400.0064001,12205.95651,380710.6599,800.0256008,81263.29307,663556.9279,0,800.0256008,2400.230422,0
94.82174,15.4899,200.0016,10604.49631,432142.9734,1400.078404,67582.20162,643550.5445,0,0,3200.409652,0
94.99189,15.66005,0,10204.1633,276422.9615,2000.160013,84283.19152,628828.947,0,400.0064001,2200.193617,0
95.1621,15.83026,0,8402.823349,289514.3604,1000.040002,62556.14013,491683.5931,0,0,2200.193617,0
95.33232,16.00048,400.0064001,6201.537981,353941.0166,1000.040002,60144.34643,537096.2074,0,0,2800.313635,0
95.50253,16.17069,0,4000.640102,313482.1631,800.0256008,83880.49638,605938.9391,0,200.0016,1800.129609,0
95.67276,16.34092,0,11004.84213,408363.2136,1000.040002,67381.12045,772133.1079,0,400.0064001,2200.193617,0
95.84306,16.51122,800.0256008,10004.0016,503632.5087,1400.078404,69794.30735,859144.2071,0,0,800.0256008,0
96.0132,16.68136,0,6801.850103,297908.1666,400.0064001,81464.59701,812580.019,0,0,1200.057603,0
96.18343,16.85159,200.0016,10204.1633,384834.0847,800.0256008,97377.82596,554428.8892,0,600.0144003,3000.360043,0
96.35363,17.02179,0,9603.687816,519161.8282,1200.057603,92339.8105,843105.4729,0,200.0016,3400.462463,0
96.52384,17.192,0,12205.95651,360113.6133,600.0144003,97982.52377,566136.5273,0,400.0064001,3800.577688,200.0016
96.69422,17.36238,0,9803.843106,373291.87,1800.129609,104031.1049,596500.8559,0,400.0064001,2000.160013,0
96.86444,17.5326,600.0144003,6401.63882,430487.2888,2000.160013,91332.45012,748350.0457,0,400.0064001,600.0144003,0
97.03464,17.7028,0,8202.690482,326406.7299,1200.057603,79049.16296,581833.2146,0,200.0016,1600.102407,0
97.20486,17.87302,400.0064001,8202.690482,399689.5142,1200.057603,107258.2071,805119.7358,0,200.0016,2000.160013,0
97.37506,18.04322,200.0016,9803.843106,310201.8337,1800.129609,73012.61273,606988.0446,0,0,2800.313635,0
97.54535,18.21351,400.0064001,10004.0016,357026.9393,1000.040002,62154.14227,734779.4221,0,0,1800.129609,0
97.71558,18.38374,400.0064001,7802.43436,291356.426,600.0144003,97377.82596,652391.6238,0,600.0144003,600.0144003,0
97.88572,18.55388,0,12005.76277,562627.4212,2000.160013,89720.84173,764908.6067,0,400.0064001,2200.193617,0
98.05594,18.7241,0,10804.66762,353529.617,600.0144003,70799.93903,589164.9334,0,0,600.0144003,0
98.22616,18.89432,400.0064001,9803.843106,370613.9283,1400.078404,73213.78425,608037.2361,0,800.0256008,800.0256008,0
98.39635,19.06451,0,10404.3282,396593.1994,1000.040002,84484.54394,798728.6387,0,200.0016,2000.160013,0
98.56665,19.23481,200.0016,8202.690482,346743.4504,1000.040002,75628.09433,772133.1079,0,600.0144003,1200.057603,0
98.73688,19.40504,600.0144003,7602.311103,349827.6212,1200.057603,62556.14013,655340.0051,0,0,1200.057603,0
98.90703,19.57519,0,5201.081825,375352.2099,400.0064001,94153.26304,783402.9141,0,0,1400.078404,0
99.07724,19.7454,400.0064001,7402.191049,326406.7299,600.0144003,72610.27937,623995.5394,0,0,1800.129609,0
99.24746,19.91562,400.0064001,7802.43436,327638.3294,1600.102407,70799.93903,664189.2169,0,0,800.0256008,0
99.41766,20.08582,600.0144003,5601.254681,350650.1935,800.0256008,108266.8466,753654.9587,0,0,1400.078404,0
99.58795,20.25611,0,6201.537981,323943.8902,1400.078404,104031.1049,964786.8209,0,400.0064001,1000.040002,0
99.75818,20.42634,400.0064001,7402.191049,351678.4839,1400.078404,76030.52455,693941.9851,0,0,1600.102407,200.0016
