Time,7Li,25Mg,43Ca,66Zn,86Sr,88Sr,111Cd,137Ba,138Ba,208Pb
0.00824,200.0016,0,3200.409652,400.0064001,2200.193617,0,0,0,0,0
0.17848,200.0016,0,3600.518475,200.0016,400.0064001,0,0,0,0,0
0.34862,600.0144003,0,2600.270428,600.0144003,1000.040002,0,0,0,0,200.0016
0.51884,400.0064001,200.0016,1400.078404,600.0144003,1200.057603,0,0,0,0,0
0.68904,400.0064001,0,2000.160013,600.0144003,1800.129609,0,0,0,0,0
0.85925,400.0064001,0,2600.270428,600.0144003,1600.102407,0,0,0,0,0
1.02948,200.0016,0,4400.774536,200.0016,2600.270428,0,0,0,0,0
1.19976,200.0016,200.0016,4200.705719,600.0144003,2200.193617,0,0,0,0,0
1.3699,200.0016,400.0064001,1800.129609,0,2200.193617,0,0,0,0,0
1.54013,0,0,3000.360043,400.0064001,1600.102407,0,0,0,0,0
1.71034,200.0016,0,2800.313635,200.0016,1000.040002,0,0,0,0,0
1.88057,0,0,3400.462463,600.0144003,800.0256008,0,0,0,0,0
2.05078,0,0,3400.462463,600.0144003,1800.129609,0,0,0,0,0
2.22107,200.0016,0,3200.409652,400.0064001,1800.129609,0,0,0,0,0
2.39123,400.0064001,200.0016,2600.270428,0,2600.270428,0,0,0,0,0
2.56145,600.0144003,400.0064001,3000.360043,0,1000.040002,0,0,0,0,0
2.73165,200.0016,200.0016,3200.409652,200.0016,1800.129609,0,0,0,0,0
2.90186,200.0016,0,2800.313635,600.0144003,800.0256008,0,0,0,0,0
3.07209,0,200.0016,1200.057603,400.0064001,2200.193617,0,0,0,0,0
3.24238,200.0016,0,2600.270428,200.0016,1200.057603,0,0,0,0,0
3.41252,200.0016,0,2800.313635,200.0016,1200.057603,0,0,0,0,0
3.58274,200.0016,0,2200.193617,400.0064001,3400.462463,0,0,0,0,0
3.75295,0,200.0016,2800.313635,0,1000.040002,0,0,0,0,0
3.92316,400.0064001,400.0064001,3600.518475,800.0256008,2000.160013,0,0,0,0,0
4.09338,200.0016,0,3200.409652,600.0144003,2800.313635,0,0,0,0,0
4.26367,400.0064001,0,2400.230422,200.0016,2000.160013,0,0,0,0,200.0016
4.43381,200.0016,0,2400.230422,400.0064001,1200.057603,0,0,0,0,0
4.60403,200.0016,400.0064001,1400.078404,200.0016,1200.057603,0,0,0,0,0
4.77424,0,0,2200.193617,800.0256008,1200.057603,0,0,0,0,0
4.94445,400.0064001,0,3200.409652,600.0144003,1000.040002,600.0144003,0,0,1000.040002,200.0016
5.1147,0,8402.823349,6401.63882,3200.409652,2200.193617,5201.081825,0,1000.040002,800.0256008,600.0144003
5.28498,400.0064001,7202.074197,5401.166652,1600.102407,1600.102407,5401.166652,0,200.0016,48493.88416,600.0144003
5.45512,800.0256008,6001.440346,6801.850103,2200.193617,2000.160013,4200.705719,0,0,1600.102407,200.0016
5.62534,0,7602.311103,9203.386846,572654.9011,3200.409652,12406.15345,0,0,200.0016,200.0016
5.79556,0,7202.074197,36051.91476,2000.160013,4200.705719,40666.04165,0,200.0016,1000.040002,200.0016
5.96577,1000.040002,4600.846556,15809.99191,1800.129609,7602.311103,57331.17373,0,400.0064001,400.0064001,600.0144003
6.136,0,5401.166652,98385.67183,800.0256008,15209.24722,162853.991,0,0,2000.160013,1000.040002
6.30629,400.0064001,4000.640102,84283.19152,600.0144003,13407.18625,124214.1146,0,200.0016,2200.193617,0
6.47644,200.0016,4800.921777,124820.1063,1600.102407,27630.50408,172177.6954,0,2400.230422,1200.057603,0
6.64667,400.0064001,3200.409652,147060.0069,1600.102407,30637.5003,284194.3444,0,800.0256008,1800.129609,0
6.81688,400.0064001,9803.843106,254566.0255,1600.102407,64566.32285,263753.5875,0,600.0144003,2400.230422,200.0016
6.98709,0,3400.462463,213813.1354,1800.129609,40264.74571,299751.4552,200.0016,200.0016,2400.230422,0
7.15729,400.0064001,4200.705719,263957.8314,1000.040002,49497.80767,533966.3033,0,600.0144003,5001.0002,400.0064001
7.32759,0,2600.270428,247424.7627,400.0064001,37456.03423,335646.6468,0,200.0016,2200.193617,200.0016
7.49774,400.0064001,2400.230422,320045.3735,2000.160013,57331.17373,513744.7646,0,1000.040002,4200.705719,200.0016
7.66796,400.0064001,2800.313635,247016.8125,800.0256008,56527.5261,527917.3304,0,0,1800.129609,0
7.83818,0,3800.577688,382978.3778,1600.102407,63762.21106,545237.5503,0,600.0144003,3000.360043,400.0064001
8.0084,400.0064001,1400.078404,291970.5075,1800.129609,59139.56938,577436.1996,0,400.0064001,3200.409652,0
8.17861,200.0016,1000.040002,578692.3354,1200.057603,84484.54394,557563.8121,0,200.0016,2200.193617,0
8.34891,200.0016,3000.360043,736586.7786,600.0144003,80055.53727,585812.7692,0,400.0064001,4200.705719,0
8.51906,0,3000.360043,471944.1818,2200.193617,52309.22165,490643.9141,0,1000.040002,2400.230422,0
8.68927,200.0016,3200.409652,267430.4842,1200.057603,56728.43317,435247.9631,0,400.0064001,3200.409652,0
8.85949,0,2600.270428,365465.6288,800.0256008,60747.25134,402167.1097,0,400.0064001,2200.193617,0
9.02972,400.0064001,1800.129609,347977.0286,1000.040002,58938.62364,582880.3458,0,600.0144003,6801.850103,200.0016
9.20007,0,2400.230422,429245.6669,1400.078404,55121.26679,542731.9689,0,200.0016,1400.078404,200.0016
9.37029,200.0016,1600.102407,259465.2268,1800.129609,106451.3537,923713.769,0,1000.040002,6001.440346,200.0016
9.54052,600.0144003,5801.345912,461152.3921,2200.193617,75829.30783,525623.642,0,200.0016,2000.160013,0
9.71089,400.0064001,2200.193617,334414.2683,3000.360043,129062.8669,846311.6279,0,800.0256008,2600.270428,200.0016
9.88118,200.0016,3200.409652,574728.9418,600.0144003,76835.42374,618323.8648,0,400.0064001,3000.360043,200.0016
10.05141,200.0016,1800.129609,454101.1648,3000.360043,151107.856,1047744.474,0,600.0144003,6201.537981,0
10.22156,200.0016,4000.640102,592517.9762,1800.129609,97780.9546,635136.1328,0,400.0064001,3000.360043,600.0144003
10.39193,400.0064001,4600.846556,493971.1857,2000.160013,173394.3402,1148877.063,0,400.0064001,3200.409652,400.0064001
10.56216,200.0016,800.0256008,611815.0376,2000.160013,96571.60755,618323.8648,0,600.0144003,2400.230422,0
10.73244,0,1800.129609,599436.4028,1800.129609,137957.1086,1511228.502,0,400.0064001,3800.577688,0
10.90259,800.0256008,3000.360043,706412.2075,1000.040002,100199.9984,772558.2047,0,200.0016,3200.409652,200.0016
11.07285,200.0016,1600.102407,551921.5045,3400.462463,225821.5546,1149752.31,0,600.0144003,3600.518475,0
11.24303,600.0144003,3600.518475,650286.052,1400.078404,111696.8275,754079.4462,0,600.0144003,4600.846556,0
11.41324,0,3200.409652,683805.6414,2200.193617,139574.92,1209290.756,0,1000.040002,5801.345912,0
11.58347,400.0064001,2200.193617,493971.1857,800.0256008,97176.2665,768307.8674,0,600.0144003,3200.409652,400.0064001
11.75377,400.0064001,5001.0002,850373.8998,6601.74286,153537.191,2070797.912,0,1200.057603,20616.9884,600.0144003
11.9239,400.0064001,1800.129609,492723.357,1200.057603,72207.95892,748350.0457,0,800.0256008,5201.081825,0
12.09412,200.0016,4400.774536,761085.5103,4200.705719,175016.7162,1184371.491,0,800.0256008,2800.313635,200.0016
12.26433,0,3200.409652,626306.9417,3800.577688,121992.3951,788722.2823,0,400.0064001,1800.129609,200.0016
12.43453,0,3000.360043,695420.8704,8002.560819,124214.1146,942867.5793,0,600.0144003,6201.537981,0
12.60477,800.0256008,7402.191049,531045.7516,3000.360043,107459.9285,459492.9284,0,200.0016,2400.230422,0
12.77506,200.0016,1600.102407,605309.517,5601.254681,124820.1063,1185249.116,0,600.0144003,6601.74286,0
12.94519,600.0144003,1200.057603,827348.1824,5201.081825,76231.7445,559654.1881,0,1200.057603,2400.230422,0
13.11541,200.0016,3400.462463,1002820.23,5201.081825,120982.6525,946313.9629,0,1000.040002,2600.270428,200.0016
13.28562,800.0256008,2000.160013,417249.5689,2800.313635,70799.93903,575552.2273,0,800.0256008,2600.270428,0
13.45583,200.0016,1800.129609,708315.5089,3800.577688,154752.0345,803628.1966,0,1400.078404,2600.270428,200.0016
13.62605,0,1000.040002,439596.2227,2400.230422,101409.6952,737110.8549,0,0,3000.360043,200.0016
13.79635,200.0016,4400.774536,790637.7922,4400.774536,102619.5086,1276570.363,0,200.0016,2200.193617,0
13.96649,400.0064001,2000.160013,473189.977,3200.409652,119771.0685,874988.615,0,0,5601.254681,0
14.13672,400.0064001,2200.193617,753442.7202,3800.577688,232135.648,1060343.246,0,400.0064001,2400.230422,200.0016
14.30693,0,2000.160013,449540.6867,2200.193617,74420.88118,787232.638,0,600.0144003,3800.577688,0
14.47714,400.0064001,2600.270428,887420.7845,4200.705719,122396.3148,1079046.634,200.0016,600.0144003,3000.360043,0
14.64737,0,1400.078404,2686444.271,2800.313635,96168.51776,854009.6466,0,1000.040002,6201.537981,0
14.81766,0,4000.640102,1222160.289,3000.360043,121588.4883,883132.4802,0,0,3600.518475,0
14.98781,400.0064001,1400.078404,541688.1217,2400.230422,107056.4889,737534.7971,0,600.0144003,8803.098691,0
15.15803,200.0016,2400.230422,667983.6053,5201.081825,114118.5547,1003744.539,0,200.0016,3800.577688,0
15.32825,400.0064001,400.0064001,874241.5744,4600.846556,72610.27937,693308.2293,0,600.0144003,6401.63882,0
15.49847,400.0064001,1800.129609,620634.2439,4200.705719,73414.959,571575.8637,0,1800.129609,4000.640102,200.0016
15.66869,200.0016,1400.078404,381947.5467,6201.537981,87303.81728,863638.6208,0,800.0256008,7402.191049,200.0016
15.83899,400.0064001,3000.360043,1279642.512,5201.081825,91130.98775,780850.3968,0,1600.102407,5601.254681,0
16.00913,0,2200.193617,535635.49,7202.074197,68185.46446,734143.65,0,2200.193617,6801.850103,0
16.17935,0,1600.102407,808316.4719,5801.345912,131285.8372,559863.2445,0,600.0144003,5601.254681,0
16.34956,0,1600.102407,516244.662,7602.311103,83276.47791,1248673.941,0,2200.193617,11004.84213,200.0016
16.51976,400.0064001,5801.345912,903729.3081,6801.850103,92944.26556,682961.3071,0,400.0064001,5201.081825,0
16.68997,200.0016,1800.129609,562999.501,4800.921777,117348.251,815565.3402,0,1400.078404,9803.843106,400.0064001
16.86026,200.0016,3400.462463,657235.751,7802.43436,90929.52861,645234.0897,0,800.0256008,5401.166652,0
17.03041,200.0016,1600.102407,520829.0799,5801.345912,119367.2331,927155.0651,0,2000.160013,15409.49225,0
17.20062,400.0064001,5001.0002,1116271.985,9003.241167,75225.67703,1296261.955,0,600.0144003,5401.166652,200.0016
