Time,7Li,24Mg,43Ca,66Zn,86Sr,88Sr,111Cd,137Ba,138Ba,208Pb
0.00824,0,1000.040002,2800.313635,0,1200.057603,0,0,0,0,0
0.17852,0,800.0256008,2200.193617,800.0256008,1800.129609,0,0,0,0,0
0.34881,200.0016,1000.040002,2600.270428,400.0064001,1800.129609,0,0,0,0,0
0.51897,400.0064001,800.0256008,3200.409652,0,800.0256008,0,0,0,0,0
0.6892,200.0016,400.0064001,2000.160013,400.0064001,2600.270428,0,0,0,0,200.0016
0.85954,200.0016,1000.040002,3600.518475,400.0064001,1200.057603,0,0,0,0,0
1.02983,0,1000.040002,3600.518475,1000.040002,800.0256008,0,0,0,0,0
1.20006,200.0016,400.0064001,1000.040002,400.0064001,1400.078404,0,0,0,0,0
1.37021,400.0064001,1800.129609,1800.129609,400.0064001,1200.057603,0,0,0,0,0
1.54057,0,1000.040002,1800.129609,600.0144003,1800.129609,0,0,0,0,0
1.71079,200.0016,800.0256008,2000.160013,400.0064001,800.0256008,0,0,0,0,0
1.88106,400.0064001,1400.078404,2600.270428,400.0064001,800.0256008,0,0,0,0,0
2.05123,0,400.0064001,800.0256008,200.0016,1600.102407,0,0,0,0,0
2.22144,200.0016,600.0144003,3000.360043,600.0144003,1800.129609,0,0,0,0,0
2.39165,200.0016,600.0144003,2000.160013,400.0064001,1800.129609,0,0,0,0,0
2.56186,800.0256008,800.0256008,2000.160013,600.0144003,1600.102407,0,0,0,0,0
2.73209,0,1000.040002,2000.160013,200.0016,2200.193617,0,0,0,0,0
2.90238,200.0016,2400.230422,2600.270428,400.0064001,1600.102407,0,0,0,0,0
3.07252,0,400.0064001,4000.640102,200.0016,1600.102407,0,0,0,0,0
3.24275,0,1200.057603,3800.577688,200.0016,1400.078404,0,0,0,0,0
3.41296,800.0256008,600.0144003,2600.270428,400.0064001,1800.129609,0,0,0,0,0
3.58317,0,400.0064001,4600.846556,200.0016,1400.078404,0,0,0,0,0
3.75339,600.0144003,1000.040002,600.0144003,200.0016,1000.040002,0,200.0016,0,0,0
3.92367,200.0016,1000.040002,2400.230422,400.0064001,2000.160013,0,0,0,0,0
4.09381,600.0144003,2200.193617,4000.640102,200.0016,1400.078404,0,0,0,0,0
4.26395,200.0016,600.0144003,1800.129609,0,1400.078404,0,0,0,0,0
4.43409,200.0016,1600.102407,2000.160013,200.0016,800.0256008,0,0,0,0,0
4.60429,0,600.0144003,2600.270428,600.0144003,800.0256008,0,0,0,0,0
4.77451,400.0064001,4400.774536,2600.270428,600.0144003,1600.102407,600.0144003,0,0,0,0
4.94486,200.0016,10604.49631,1000.040002,400.0064001,3000.360043,0,0,0,0,0
5.11508,400.0064001,6601.74286,3400.462463,200.0016,1400.078404,600.0144003,0,0,0,200.0016
5.28532,400.0064001,5801.345912,2800.313635,12205.95651,400.0064001,200.0016,0,0,0,0
5.45569,400.0064001,6401.63882,2000.160013,400.0064001,400.0064001,0,0,0,400.0064001,0
5.62595,200.0016,5001.0002,4000.640102,600.0144003,1200.057603,200.0016,0,0,0,0
5.79618,600.0144003,11004.84213,2600.270428,400.0064001,1400.078404,800.0256008,0,0,0,0
5.96632,0,13607.40243,2200.193617,200.0016,1000.040002,400.0064001,200.0016,0,0,0
6.13654,0,46285.53567,10804.66762,3400.462463,3800.577688,131176.0879,0,0,0,400.0064001
6.30677,0,38860.3112,7602.311103,6401.63882,5801.345912,38860.3112,0,0,400.0064001,200.0016
6.47696,200.0016,87505.2182,81867.21459,2200.193617,30837.99241,561109.1825,0,200.0016,600.0144003,200.0016
6.64725,600.0144003,61551.16967,68788.75635,1800.129609,13607.40243,92944.26556,0,0,0,0
6.81749,800.0256008,73616.13698,188003.2563,3400.462463,77640.3746,513536.4619,0,0,200.0016,800.0256008
6.98762,0,56125.72162,115935.1567,1800.129609,50301.00442,325996.2234,0,0,400.0064001,1000.040002
7.158,0,1566066.341,402993.0823,2000.160013,51104.25268,407123.751,0,200.0016,1000.040002,200.0016
7.32821,200.0016,52309.22165,1435449.588,16210.50441,48895.44391,1181394.334,0,0,1400.078404,400.0064001
7.49851,200.0016,79854.25595,1191906.488,3000.360043,104434.4473,848449.5066,0,400.0064001,1200.057603,0
7.66867,200.0016,96168.51776,1904383.508,6601.74286,88109.44035,897507.2145,0,0,1200.057603,600.0144003
7.83888,0,74823.27265,931888.3394,4000.640102,132498.5323,1493177.876,0,0,2200.193617,400.0064001
8.0091,200.0016,62757.14389,710871.0475,5001.0002,89720.84173,1138729.218,0,0,1200.057603,0
8.17932,0,57532.09369,1659327.718,5401.166652,153334.7285,1443948.896,0,0,1200.057603,600.0144003
8.34952,200.0016,32241.52709,902982.6856,4200.705719,205678.3352,992929.9231,0,0,1400.078404,0
8.51981,400.0064001,51305.07279,1320485.143,9203.386846,176842.1392,1685170.899,0,400.0064001,1400.078404,0
8.68996,200.0016,33444.6821,708527.0042,8002.560819,157789.6567,1375982.242,0,0,600.0144003,0
8.86017,0,33043.61758,1057301.047,3800.577688,133104.9237,1332363.207,0,200.0016,1000.040002,0
9.03038,0,30036.04325,774404.0302,5801.345912,137552.6883,1294974.925,0,400.0064001,1400.078404,0
9.20061,200.0016,28632.75587,1604870.875,6601.74286,140990.6757,1670402.205,0,400.0064001,1600.102407,200.0016
9.3708,200.0016,21418.33409,856089.2937,4200.705719,154954.5198,1187223.987,0,1000.040002,2200.193617,0
9.54109,200.0016,30837.99241,907594.8632,4800.921777,118963.4107,1082936.374,0,0,3000.360043,200.0016
9.71132,600.0144003,15609.74048,578901.7034,6401.63882,148071.847,1414411.508,0,200.0016,1800.129609,0
9.88146,200.0016,21217.99286,1015867.598,5001.0002,151310.2827,1358618.663,0,200.0016,1400.078404,0
10.05166,600.0144003,14007.84439,615593.9539,4200.705719,136137.3197,1161702.742,0,600.0144003,5201.081825,200.0016
10.22189,200.0016,20416.65999,767033.0395,6201.537981,162853.991,1201276.107,0,400.0064001,2600.270428,0
10.3921,0,10204.1633,1135936.955,7802.43436,193689.0817,1321995.923,0,200.0016,2800.313635,0
10.56239,0,22019.37705,1380992.746,11605.3849,173799.9146,1261166.248,0,0,2400.230422,400.0064001
10.73262,0,15609.74048,688028.1459,13206.97328,291356.426,1875522.956,0,600.0144003,3400.462463,0
10.90277,200.0016,26227.48641,828367.3992,12205.95651,189424.472,1239116.015,0,400.0064001,2200.193617,0
11.07298,800.0256008,13006.76352,813733.9719,8002.560819,233358.0957,1806546.802,0,800.0256008,3600.518475,200.0016
11.2432,400.0064001,17812.68263,1598820.115,15009.0054,169542.0351,1452563.148,0,0,200.0016,0
