Time,7Li,24Mg,43Ca,66Zn,86Sr,88Sr,111Cd,137Ba,138Ba,208Pb
0.00826,0,800.0256008,2800.313635,200.0016,600.0144003,0,0,0,0,0
0.17843,200.0016,600.0144003,2200.193617,200.0016,1000.040002,0,0,0,0,0
0.34864,200.0016,400.0064001,2600.270428,400.0064001,1600.102407,0,0,0,0,0
0.51894,200.0016,400.0064001,2200.193617,200.0016,1000.040002,0,0,0,0,0
0.68908,0,1600.102407,1400.078404,600.0144003,800.0256008,0,0,0,0,0
0.8593,0,400.0064001,1400.078404,400.0064001,800.0256008,0,0,0,0,0
1.02952,0,0,2200.193617,200.0016,1600.102407,0,0,0,0,0
1.19971,400.0064001,1000.040002,1800.129609,200.0016,1000.040002,0,0,0,0,0
1.36994,0,800.0256008,2200.193617,200.0016,1200.057603,0,0,0,0,0
1.54024,600.0144003,600.0144003,2800.313635,400.0064001,1200.057603,200.0016,0,0,0,0
1.71037,0,1200.057603,2600.270428,200.0016,600.0144003,0,0,0,0,0
1.88059,200.0016,600.0144003,2800.313635,400.0064001,1600.102407,0,0,0,0,0
2.05079,400.0064001,1000.040002,2600.270428,800.0256008,1000.040002,0,0,0,0,0
2.221,600.0144003,200.0016,1800.129609,600.0144003,1200.057603,0,0,0,0,0
2.39123,200.0016,400.0064001,2000.160013,400.0064001,800.0256008,0,0,0,0,0
2.56153,600.0144003,600.0144003,2400.230422,200.0016,400.0064001,0,0,0,0,0
2.73167,0,800.0256008,1800.129609,200.0016,600.0144003,0,0,0,0,0
2.9019,0,1200.057603,1600.102407,200.0016,600.0144003,0,0,0,0,0
3.07212,0,200.0016,3000.360043,200.0016,1400.078404,0,0,0,0,0
3.24232,400.0064001,400.0064001,1000.040002,400.0064001,1400.078404,0,0,0,0,0
3.41254,400.0064001,800.0256008,2400.230422,0,600.0144003,0,0,0,0,0
3.5829,200.0016,200.0016,3200.409652,800.0256008,800.0256008,0,0,0,0,0
3.75313,200.0016,800.0256008,1000.040002,600.0144003,800.0256008,0,0,0,0,0
3.92334,0,1000.040002,3200.409652,600.0144003,2000.160013,0,0,0,0,0
4.09355,200.0016,1000.040002,2000.160013,600.0144003,1000.040002,0,0,0,0,0
4.26383,600.0144003,200.0016,2800.313635,400.0064001,800.0256008,0,200.0016,0,0,200.0016
4.43406,200.0016,9403.535729,2800.313635,600.0144003,2000.160013,800.0256008,0,0,0,0
4.60422,200.0016,11805.57223,2200.193617,1000.040002,400.0064001,600.0144003,0,200.0016,600.0144003,0
4.77443,400.0064001,11405.20077,2600.270428,800.0256008,600.0144003,200.0016,0,0,200.0016,200.0016
4.94463,200.0016,6601.74286,3800.577688,400.0064001,1400.078404,400.0064001,0,0,0,0
5.11484,0,6601.74286,2200.193617,400.0064001,1800.129609,600.0144003,0,0,0,0
5.28506,200.0016,4200.705719,1000.040002,1000.040002,1600.102407,1000.040002,0,0,0,0
5.45535,400.0064001,3400.462463,10204.1633,1600.102407,2200.193617,11605.3849,0,0,0,400.0064001
5.62549,200.0016,5801.345912,11004.84213,200.0016,7001.960549,27630.50408,0,0,0,400.0064001
5.79572,0,4200.705719,64164.26051,1000.040002,34046.30297,135530.782,0,200.0016,0,200.0016
5.96592,600.0144003,4600.846556,196556.4258,400.0064001,13607.40243,260281.9452,0,0,600.0144003,400.0064001
6.13612,400.0064001,7602.311103,167514.9797,800.0256008,28231.84552,239479.8445,0,0,400.0064001,200.0016
6.30634,600.0144003,14408.29918,150095.7716,200.0016,34246.84969,299751.4552,0,200.0016,600.0144003,0
6.47664,0,11605.3849,417663.0391,800.0256008,47289.28216,424280.3912,0,0,1400.078404,0
6.64677,400.0064001,13006.76352,252933.3807,1200.057603,44278.28401,558608.9574,0,0,800.0256008,0
6.81698,200.0016,15009.0054,816759.352,800.0256008,67381.12045,1041912.223,0,0,600.0144003,200.0016
6.9872,400.0064001,13206.97328,366701.0301,1200.057603,85289.98595,792485.3899,0,400.0064001,600.0144003,0
7.1574,200.0016,22420.0884,990718.7094,800.0256008,117752.0215,1103444.819,0,0,2400.230422,200.0016
7.32763,0,20616.9884,484407.62,600.0144003,69995.42723,673888.2179,0,0,1200.057603,0
