Time,7Li,24Mg,43Ca,66Zn,86Sr,88Sr,111Cd,137Ba,138Ba,208Pb
0.00827,0,8402.823349,4000.640102,1000.040002,2800.313635,0,0,0,0,0
0.17852,200.0016,9403.535729,2600.270428,3600.518475,2200.193617,0,0,0,0,0
0.34875,0,8602.959418,2400.230422,3200.409652,1600.102407,0,0,0,0,0
0.51904,0,10204.1633,3800.577688,2200.193617,2000.160013,0,0,0,0,0
0.68927,0,7602.311103,2400.230422,2600.270428,1800.129609,0,0,0,0,0
0.85941,0,6201.537981,3400.462463,3200.409652,1000.040002,0,0,0,0,0
1.02964,0,8402.823349,3600.518475,1600.102407,1800.129609,0,0,0,0,0
1.19988,0,8002.560819,3000.360043,3400.462463,1400.078404,0,0,0,0,0
1.37011,0,8803.098691,2800.313635,4600.846556,2600.270428,0,0,0,0,0
1.5404,0,7001.960549,2200.193617,2400.230422,2600.270428,0,0,0,0,0
1.71063,200.0016,9603.687816,2000.160013,2200.193617,2400.230422,0,0,0,0,0
1.88079,0,8402.823349,3400.462463,2800.313635,5201.081825,0,0,0,0,0
2.051,0,7202.074197,3400.462463,1600.102407,1000.040002,0,0,0,0,0
2.22122,0,7602.311103,2000.160013,2400.230422,2600.270428,0,0,0,0,0
2.39148,0,9803.843106,1600.102407,2000.160013,1200.057603,0,0,0,0,0
2.56173,0,6201.537981,1600.102407,1600.102407,2600.270428,0,0,0,0,0
2.73197,0,8202.690482,2200.193617,2000.160013,1400.078404,0,0,0,0,0
2.90212,0,9003.241167,2200.193617,2200.193617,1800.129609,0,0,0,0,0
3.07232,0,5801.345912,1600.102407,2000.160013,1200.057603,0,0,0,0,0
3.24255,0,10004.0016,4200.705719,2000.160013,3400.462463,0,0,0,0,0
3.41277,0,7001.960549,2600.270428,4000.640102,1600.102407,0,0,0,0,0
3.58315,0,6801.850103,2200.193617,2200.193617,1800.129609,0,0,0,0,0
3.75337,0,12806.55696,2400.230422,2200.193617,2400.230422,0,0,0,0,0
3.92358,0,8002.560819,2400.230422,2000.160013,2200.193617,0,0,0,0,0
4.0938,0,8402.823349,2400.230422,1400.078404,2200.193617,0,0,0,0,0
4.26402,0,8202.690482,1800.129609,2000.160013,3400.462463,0,0,0,0,0
4.43431,0,7202.074197,4000.640102,1400.078404,2800.313635,0,0,0,0,0
4.60448,0,9803.843106,4000.640102,3400.462463,2000.160013,0,0,0,0,0
4.77469,0,7402.191049,4400.774536,1000.040002,2600.270428,0,0,0,0,0
4.94491,0,7001.960549,3400.462463,1400.078404,1800.129609,0,0,0,0,0
5.11514,0,22019.37705,36252.49361,3800.577688,15009.0054,155966.9954,0,0,1000.040002,600.0144003
5.28535,200.0016,64365.29006,150298.1819,4400.774536,64365.29006,1338927.071,0,200.0016,1000.040002,0
5.45561,0,65169.44055,136339.5055,1600.102407,53112.59871,372673.8333,0,400.0064001,200.0016,600.0144003
5.62576,0,52510.06109,598931.9828,2000.160013,69794.30735,720164.6091,0,200.0016,1000.040002,200.0016
5.79598,200.0016,32642.56591,305692.7686,2800.313635,86699.63393,1115755.694,0,200.0016,800.0256008,200.0016
5.96619,200.0016,32843.09013,524164.2368,3600.518475,91130.98775,597129.845,0,0,800.0256008,200.0016
6.13642,0,32041.0125,328254.1741,2400.230422,110889.6889,799367.6059,0,0,1400.078404,200.0016
6.30663,0,35249.63148,638711.583,1200.057603,123002.2189,1215854.62,0,400.0064001,600.0144003,0
6.47691,0,22620.44889,632823.1376,1600.102407,156777.0345,1461298.763,0,0,1400.078404,0
6.64715,0,38659.69056,1054911.247,2400.230422,176030.8074,1414411.508,0,0,4400.774536,200.0016
6.81728,200.0016,25025.02503,703663.4918,3000.360043,141597.477,1087537.253,0,400.0064001,4800.921777,0
6.98765,0,31038.48772,967227.2818,3000.360043,189424.472,1326652.682,0,0,2600.270428,0
7.15788,200.0016,20817.32001,671541.1059,3000.360043,151917.5822,1555741.564,0,600.0144003,5801.345912,200.0016
7.32818,0,33244.14823,1323510.523,3200.409652,342837.9113,1777064.996,0,200.0016,4400.774536,400.0064001
7.49831,0,22019.37705,760873.1493,2400.230422,169136.5979,1347131.901,0,200.0016,2400.230422,200.0016
7.66853,0,35249.63148,1741012.981,1800.129609,229283.7305,1416052.474,0,0,2200.193617,200.0016
7.83875,200.0016,24223.4483,674310.0799,2600.270428,155966.9954,1535842.992,0,800.0256008,2600.270428,0
8.00896,0,31439.488,1769754.092,2400.230422,171163.9146,1253596.839,0,400.0064001,2400.230422,0
8.17918,0,21217.99286,887855.785,3800.577688,240491.4021,2141359.45,0,600.0144003,1600.102407,0
8.34947,0,35249.63148,1335971.144,2800.313635,246608.8755,1740963.744,0,600.0144003,2200.193617,0
8.51962,0,22620.44889,818338.0426,4200.705719,256811.2569,3472182.884,0,600.0144003,3400.462463,0
8.68983,0,32843.09013,1223672.979,4600.846556,203645.4553,1445589.862,0,1200.057603,3000.360043,200.0016
8.86008,0,21017.65483,1037327.112,3000.360043,298522.5663,2400632.08,0,400.0064001,4000.640102,200.0016
9.03027,0,38057.84793,1343741.57,3800.577688,204661.8543,1560457.483,0,600.0144003,2200.193617,0
9.20049,0,26027.06815,993744.0895,2200.193617,333387.3779,2745234.942,0,200.0016,5801.345912,200.0016
9.37079,200.0016,36252.49361,1344688.184,2400.230422,210151.8256,1474076.584,0,0,1400.078404,0
9.54094,0,23822.67919,840541.1216,2000.160013,229283.7305,1670402.205,0,400.0064001,1800.129609,200.0016
9.71117,0,31439.488,897074.6664,2600.270428,176639.3013,1637582.885,0,0,2000.160013,0
9.88138,0,23822.67919,772770.7584,3400.462463,313482.1631,2369306.09,0,600.0144003,2000.160013,0
10.0516,0,35650.76669,1353764.325,2800.313635,264366.3293,1653361.309,0,200.0016,600.0144003,200.0016
10.22182,200.0016,26828.76043,791914.9568,2800.313635,359702.0134,2293969.289,0,1200.057603,1200.057603,200.0016
10.39211,0,32442.04489,906306.2167,3400.462463,179885.0991,1505063.527,0,800.0256008,1000.040002,400.0064001
10.56225,0,29835.56399,834911.6328,3600.518475,281944.2422,2530268.394,0,400.0064001,1200.057603,0
10.73248,600.0144003,33845.75947,862140.3094,4000.640102,176842.1392,2625444.423,0,0,1400.078404,0
10.90271,0,23822.67919,1014921.75,6601.74286,404851.717,2887998.985,0,0,2800.313635,200.0016
11.07292,200.0016,30637.5003,934686.0866,5001.0002,214220.0132,1614609.361,0,400.0064001,800.0256008,400.0064001
11.24315,0,39060.93506,961402.6634,4800.921777,394323.0483,2581138.341,0,1000.040002,3800.577688,0
11.41339,0,38659.69056,1287205.962,6201.537981,225210.681,1809884.316,0,0,1400.078404,400.0064001
11.58362,200.0016,35851.33912,1137722.798,7602.311103,537722.2803,3175168.036,0,400.0064001,2400.230422,0
11.75384,600.0144003,36854.24946,1146525.786,7802.43436,272947.8366,2180742.634,0,200.0016,2200.193617,800.0256008
11.92406,400.0064001,32642.56591,1368891.225,9003.241167,471944.1818,3304804.351,0,200.0016,2000.160013,200.0016
12.09428,0,34447.39962,976724.8545,7602.311103,247220.7859,2126590.756,200.0016,800.0256008,4400.774536,200.0016
12.2645,0,35049.0687,1999682.982,5601.254681,307742.1445,2344839.235,0,600.0144003,4800.921777,0
12.4348,0,30637.5003,1097776.887,5401.166652,237637.5956,1681807.703,0,800.0256008,4400.774536,200.0016
12.60494,200.0016,40064.10256,1706221.11,5601.254681,368966.2451,2164332.974,0,1000.040002,6601.74286,0
12.77516,0,36051.91476,1400657.717,2800.313635,227247.0413,1933618.327,0,600.0144003,5801.345912,400.0064001
12.94537,0,33645.21917,1598820.115,7402.191049,328048.8892,2517140.666,0,1800.129609,7602.311103,400.0064001
13.1156,0,36854.24946,854009.6466,4000.640102,173597.1258,1621346.486,0,1600.102407,7402.191049,400.0064001
13.28582,200.0016,45281.86962,1557977.483,6201.537981,287877.194,2395709.182,0,1400.078404,10004.0016,400.0064001
