Time,7Li,24Mg,43Ca,66Zn,86Sr,88Sr,111Cd,137Ba,138Ba,208Pb
0.00827,0,8602.959418,4000.640102,2200.193617,2000.160013,0,0,0,0,0
0.17853,0,5401.166652,2800.313635,2200.193617,2600.270428,0,0,0,0,0
0.34879,0,8202.690482,2400.230422,3000.360043,2000.160013,0,0,0,0,0
0.51903,0,7402.191049,3600.518475,800.0256008,3000.360043,0,0,0,0,0
0.68917,0,8402.823349,3600.518475,1400.078404,1600.102407,0,0,0,0,0
0.85939,200.0016,7202.074197,2400.230422,2400.230422,2400.230422,0,0,0,0,0
1.02961,0,5401.166652,2400.230422,2800.313635,800.0256008,0,0,0,0,0
1.19982,0,4400.774536,2800.313635,1400.078404,3800.577688,0,0,0,0,0
1.37013,0,5201.081825,2000.160013,1800.129609,1400.078404,0,0,0,0,0
1.54036,0,7001.960549,2400.230422,1000.040002,2200.193617,0,0,0,0,0
1.7105,0,7001.960549,2800.313635,2400.230422,2800.313635,0,0,0,0,0
1.88071,0,8402.823349,3600.518475,1800.129609,2000.160013,0,0,0,0,0
2.05094,0,5801.345912,3800.577688,1400.078404,1800.129609,0,0,0,0,0
2.22114,0,6401.63882,3400.462463,3200.409652,2400.230422,0,0,0,0,200.0016
2.39143,0,7202.074197,2400.230422,2200.193617,3400.462463,0,0,0,0,0
2.56175,0,7202.074197,2400.230422,3600.518475,1600.102407,0,0,0,0,0
2.73197,0,8202.690482,3600.518475,3200.409652,2600.270428,0,0,0,0,0
2.90217,0,7802.43436,2600.270428,3000.360043,1000.040002,0,0,0,0,200.0016
3.0724,0,7001.960549,3000.360043,1600.102407,1400.078404,0,0,0,0,0
3.24269,200.0016,6601.74286,3400.462463,2800.313635,1000.040002,0,0,0,0,0
3.41284,0,6001.440346,2600.270428,2600.270428,2000.160013,0,0,0,0,0
3.58306,0,6601.74286,1200.057603,2200.193617,2800.313635,0,0,0,200.0016,0
3.75327,0,5201.081825,4400.774536,1200.057603,2200.193617,0,0,0,0,0
3.92348,0,9603.687816,2200.193617,2800.313635,2200.193617,0,0,0,0,0
4.09371,0,6201.537981,1200.057603,2000.160013,1600.102407,0,0,0,0,0
4.26409,0,7202.074197,4200.705719,3200.409652,2200.193617,600.0144003,0,200.0016,800.0256008,800.0256008
4.4343,200.0016,59139.56938,4400.774536,2000.160013,2200.193617,3400.462463,0,0,1600.102407,1000.040002
4.60451,0,19214.75693,5601.254681,4200.705719,2600.270428,2800.313635,0,200.0016,800.0256008,400.0064001
4.77472,0,24824.62603,5801.345912,4600.846556,2000.160013,2400.230422,0,0,400.0064001,400.0064001
4.9451,0,13807.62181,4600.846556,2400.230422,5201.081825,10004.0016,0,0,200.0016,0
5.11532,0,17812.68263,6601.74286,2200.193617,3200.409652,5601.254681,0,0,800.0256008,200.0016
5.28554,0,16010.24656,9203.386846,2000.160013,13607.40243,125628.1407,0,0,400.0064001,1000.040002
5.45576,0,50301.00442,59340.51835,2200.193617,52710.90374,84283.19152,0,0,600.0144003,600.0144003
5.62613,0,67582.20162,47088.52643,4400.774536,22820.81258,336296.8391,0,400.0064001,1600.102407,1000.040002
5.79636,200.0016,81867.21459,259873.5794,5801.345912,51907.55245,352706.8578,0,800.0256008,2000.160013,200.0016
5.96658,0,54719.5074,348388.2481,3400.462463,115531.4446,944590.6566,0,400.0064001,9803.843106,200.0016
6.1368,0,84283.19152,508121.786,4800.921777,90728.07271,761085.5103,0,0,2400.230422,200.0016
6.30701,0,73213.78425,585317.7722,5401.166652,174611.1026,1298515.501,0,1200.057603,4600.846556,200.0016
6.47724,0,81263.29307,697745.177,7602.311103,114320.3864,953856.1201,0,800.0256008,4400.774536,200.0016
6.64754,0,56326.62225,660952.2754,3800.577688,231117.032,1525997.196,0,1400.078404,9203.386846,400.0064001
6.81768,0,89317.97198,855720.9402,4600.846556,170758.4252,1070126.555,0,800.0256008,3400.462463,200.0016
6.98789,0,59139.56938,909033.4459,3800.577688,260281.9452,1691734.763,0,1800.129609,9203.386846,0
7.15811,0,54518.63254,1331073.974,2200.193617,193892.1943,1386004.019,0,800.0256008,4200.705719,200.0016
7.32833,0,43475.47342,1010383.68,3200.409652,307947.1003,2743593.976,0,2200.193617,11004.84213,0
7.49856,400.0064001,61953.14818,1424860.758,2400.230422,175625.1611,1717990.219,0,400.0064001,5601.254681,0
7.66885,0,43876.87228,1005908.542,3600.518475,257831.9485,3224397.017,0,1600.102407,13607.40243,400.0064001
7.83899,0,39863.46263,1305820.952,3000.360043,236822.3408,1527638.162,0,1000.040002,8002.560819,0
8.00924,0,31639.99295,1159602.876,2600.270428,266409.0167,2487603.278,0,1000.040002,9003.241167,200.0016
8.17959,0,34447.39962,1383108.057,2200.193617,189627.5159,1718079.376,0,1000.040002,7001.960549,0
8.34987,400.0064001,44077.57653,1505033.331,2200.193617,334414.2683,2359607.929,0,2000.160013,12005.76277,0
8.5201,0,38057.84793,1100828.545,2000.160013,217475.5088,1819730.112,0,800.0256008,5601.254681,200.0016
8.69026,0,30637.5003,1624535.846,2000.160013,326406.7299,2307097.017,0,2200.193617,9003.241167,0
8.86046,0,41870.00665,1270880.095,3400.462463,205271.733,1848924.325,0,1600.102407,9203.386846,0
9.03068,0,35450.19748,1365865.845,2200.193617,287877.194,2184024.566,0,2000.160013,10404.3282,0
9.20089,200.0016,40264.74571,1225185.669,4200.705719,224803.4483,1816448.18,0,1200.057603,6201.537981,0
9.37127,0,38659.69056,1332586.664,1800.129609,300980.4636,5201761.059,0,1600.102407,9003.241167,0
9.54148,0,32442.04489,1021500.004,3200.409652,206288.2631,1772142.098,0,1000.040002,9603.687816,0
9.71169,200.0016,28031.39516,1434661.975,2600.270428,306307.5465,2220125.819,0,2000.160013,5801.345912,0
9.8819,200.0016,30236.52572,1111733.151,2800.313635,186988.2004,1708144.423,0,2400.230422,8803.098691,0
10.05212,200.0016,46687.02461,1547388.653,3400.462463,326817.2498,3286753.725,0,1200.057603,7001.960549,0
10.22244,0,48895.44391,1461165.319,2600.270428,234173.1266,2576215.443,0,2200.193617,6201.537981,0
10.39257,0,39863.46263,1314903.077,2600.270428,366701.0301,4660242.275,0,1800.129609,12806.55696,0
10.56279,200.0016,38459.07314,1223672.979,2600.270428,245793.041,2320224.745,0,1400.078404,6601.74286,200.0016
10.73301,400.0064001,32442.04489,1532743.528,3200.409652,359702.0134,2556523.851,0,1000.040002,9203.386846,0
10.90322,200.0016,30837.99241,983636.545,4800.921777,297498.5833,2037978.591,0,400.0064001,6801.850103,0
11.07346,0,42672.71431,1700170.349,3200.409652,390609.1309,2756721.704,200.0016,1000.040002,5201.081825,0
11.24373,0,31840.50112,1273591.751,3000.360043,325380.4885,2541755.156,0,600.0144003,5401.166652,200.0016
11.41388,200.0016,55121.26679,1564028.244,2200.193617,344893.3081,2581138.341,0,600.0144003,7001.960549,400.0064001
11.58409,0,31840.50112,988174.3411,2200.193617,270086.6865,2184024.566,0,2600.270428,6601.74286,0
11.75431,0,45482.5964,1715297.25,2200.193617,358673.0719,3613305.961,0,1600.102407,9603.687816,0
11.92452,0,30837.99241,987958.2197,1800.129609,257015.3886,2458065.89,0,600.0144003,6601.74286,200.0016
12.09476,0,38258.45893,1445623.567,3600.518475,337700.8773,2564728.681,0,800.0256008,6401.63882,0
12.26512,0,28231.84552,926939.9574,3600.518475,293198.76,2289046.391,0,1200.057603,5401.166652,0
12.43535,0,36653.66096,1315124.671,3800.577688,339139.0369,2443297.196,0,400.0064001,4200.705719,0
12.60557,0,34447.39962,870704.4282,2400.230422,270291.0329,2528627.428,0,1200.057603,7402.191049,200.0016
12.77578,400.0064001,55322.15131,1550552.251,2800.313635,315532.8008,2812514.548,0,600.0144003,6801.850103,200.0016
12.94598,200.0016,25826.65311,1213084.149,3800.577688,290537.6971,2046183.421,0,1600.102407,8602.959418,400.0064001
13.11627,0,33645.21917,1509560.408,2000.160013,319019.6476,2483400.026,0,1600.102407,6601.74286,0
13.28642,0,30236.52572,1057952.887,2400.230422,271721.5501,2472834.584,200.0016,1200.057603,10604.49631,200.0016
13.45663,0,40866.69445,1486881.05,2400.230422,300980.4636,2312019.915,0,1800.129609,7402.191049,0
13.62684,0,24624.23024,1076000.067,2400.230422,279490.0419,1977097.523,0,1200.057603,12005.76277,0
13.79705,0,37054.84116,1526212.142,3600.518475,258240.2483,1710314.883,0,1000.040002,8402.823349,0
13.96742,0,24223.4483,1123957.132,2600.270428,196329.8018,1450512.76,0,3200.409652,10204.1633,0
14.13765,0,39060.93506,1325987.33,2800.313635,165488.2507,1427955.28,200.0016,1200.057603,8602.959418,600.0144003
14.30786,0,30236.52572,999850.2409,5001.0002,212389.1663,1950342.377,0,800.0256008,12406.15345,0
14.47807,0,31238.98625,1483948.608,3800.577688,141799.7506,1230623.315,0,2800.313635,8202.690482,0
14.64828,0,29635.08794,1069909.068,5401.166652,182725.8588,1611371.784,0,1800.129609,11004.84213,400.0064001
14.81856,0,43676.17124,1713784.56,5601.254681,172177.6954,1330867.36,0,1600.102407,10204.1633,0
14.98879,0,49899.3996,1226698.359,6201.537981,202019.3874,2006706.305,0,1800.129609,11405.20077,600.0144003
15.15893,0,51706.72268,1169241.72,6601.74286,140586.1578,1155661.759,0,1400.078404,5801.345912,600.0144003
15.32915,0,65973.64263,1333086.153,12606.3536,185770.2413,1798730.812,0,2200.193617,9003.241167,1200.057603
15.49936,0,72811.44443,1075564.901,6401.63882,102417.8649,820897.9889,0,800.0256008,5201.081825,600.0144003
15.66957,0,49899.3996,1066647.204,16010.24656,154954.5198,1667235.568,0,1600.102407,10404.3282,800.0256008
15.83987,0,59340.51835,993578.5464,9803.843106,103627.7755,1029736.371,0,400.0064001,6001.440346,1400.078404
16.0101,0,77439.13204,1082311.602,15409.49225,151107.856,1232728.372,0,200.0016,10604.49631,1000.040002
16.18023,200.0016,75426.88407,824525.4485,5401.166652,75225.67703,790212.0987,0,400.0064001,8202.690482,1600.102407
16.35044,200.0016,122396.3148,882918.1023,13206.97328,131487.9449,1338634.774,0,1200.057603,10804.66762,1800.129609
16.52067,200.0016,96168.51776,815565.3402,15209.24722,93750.25094,861498.229,0,1200.057603,8602.959418,3200.409652
16.69086,0,119569.1491,1018900.129,16210.50441,143215.757,1122646.872,0,6801.850103,11004.84213,3800.577688
16.86116,200.0016,119771.0685,960464.9081,13206.97328,93347.25178,975429.3219,0,2200.193617,9203.386846,6001.440346
17.03138,200.0016,167514.9797,1374646.58,22219.73112,170150.2155,1543561.169,0,2800.313635,13607.40243,4400.774536
17.20154,600.0144003,97780.9546,805119.7358,14808.76679,126032.1774,1153691.646,0,1400.078404,10004.0016,5001.0002
17.37174,200.0016,148476.6059,1355277.015,31038.48772,140181.6529,1260724.88,0,1400.078404,11605.3849,2800.313635
17.54197,600.0144003,142204.3076,763209.3127,14208.07018,107056.4889,835413.9453,0,1800.129609,30837.99241,4600.846556
17.71218,600.0144003,138159.3236,1049698.657,19014.45098,133104.9237,1259842.189,0,2000.160013,9403.535729,3000.360043
17.88247,200.0016,97176.2665,717624.5967,16010.24656,72207.95892,636593.6189,0,800.0256008,11605.3849,2400.230422
18.05269,200.0016,469508.763,996822.1485,27630.50408,108266.8466,939422.1112,0,2400.230422,9603.687816,4200.705719
18.22284,1400.078404,276299.6683,813006.4512,72610.27937,107459.9285,741562.9453,0,1400.078404,7602.311103,2600.270428
18.39304,600.0144003,132498.5323,723975.5684,21819.02619,100804.8322,728846.7713,0,1000.040002,6601.74286,2000.160013
18.56327,600.0144003,99192.00681,482952.9238,24824.62603,88915.11517,799154.6133,0,44880.42572,7802.43436,2400.230422
18.73348,800.0256008,129467.0141,566554.8556,60747.25134,82672.48852,640184.117,0,1600.102407,4200.705719,2000.160013
18.90377,400.0064001,104434.4473,466339.611,490078.6049,78646.63585,624625.8805,0,1200.057603,8803.098691,2000.160013
19.07401,0,176639.3013,724822.6016,30437.01141,82672.48852,650917.6872,0,1000.040002,10604.49631,800.0256008
19.24415,0,113311.2604,415182.42,20416.65999,69995.42723,689083.9889,0,1000.040002,7001.960549,1000.040002
19.41437,600.0144003,138765.9883,751108.3277,78042.86941,73414.959,667983.6053,0,400.0064001,7802.43436,1400.078404
19.58459,200.0016,101611.3226,465717.0331,20016.01281,77841.62039,662081.7081,0,1000.040002,5601.254681,1200.057603
19.7548,0,254547.651,848525.8433,17412.11883,188003.2563,944806.0574,0,400.0064001,7802.43436,1800.129609
19.92505,200.0016,355792.4801,638290.89,16210.50441,106653.0622,862354.3432,0,400.0064001,5401.166652,1200.057603
20.09532,200.0016,108065.1122,1055764.382,16611.02972,146452.9419,1105407.37,0,800.0256008,4000.640102,400.0064001
20.26546,200.0016,69995.42723,1007423.559,16210.50441,156979.5524,1612968.395,0,1200.057603,11205.01985,400.0064001
20.43569,400.0064001,123002.2189,1241825.26,17211.84175,176233.6354,1196163.028,0,200.0016,5001.0002,1000.040002
20.60591,0,60345.31151,1010021.141,15409.49225,191658.1351,1719631.185,0,2000.160013,8202.690482,1200.057603
20.77611,0,85289.98595,1352405.448,14608.53138,186988.2004,1033707.393,0,0,3600.518475,600.0144003
20.94635,0,54719.5074,962265.405,14408.29918,152322.4648,1520584.217,0,1000.040002,10004.0016,1000.040002
21.11664,0,65370.48623,1669916.548,15209.24722,171569.4171,1202726.892,0,600.0144003,5001.0002,600.0144003
21.28679,0,66978.9678,1480830.29,21418.33409,212999.4191,2034041.265,0,1600.102407,11004.84213,1200.057603
21.45701,0,59139.56938,1872617.017,19615.37846,141192.9395,1227004.163,0,800.0256008,5601.254681,0
21.62723,0,43475.47342,1489906.43,20616.9884,197548.7825,1714708.287,0,1200.057603,5601.254681,600.0144003
21.79744,400.0064001,53916.02729,1344629.911,15609.74048,168731.1738,4753777.338,0,1200.057603,3600.518475,200.0016
21.96767,0,46687.02461,1449063.799,20616.9884,204458.5679,1906022.644,0,400.0064001,5001.0002,200.0016
22.13795,0,44880.42572,1759165.262,17412.11883,174408.3007,1226563.942,0,800.0256008,4600.846556,200.0016
22.3081,0,30036.04325,1341662.804,26628.33255,232543.1174,1814807.214,0,1400.078404,7001.960549,0
22.47833,200.0016,54719.5074,1471754.15,20016.01281,137350.483,1280822.148,0,600.0144003,6401.63882,0
22.64854,0,34447.39962,1542850.583,29434.61511,200190.3118,1710999.803,0,1600.102407,7402.191049,400.0064001
22.81876,0,36453.07568,1211385.387,13607.40243,130679.5336,1043185.853,0,1200.057603,4200.705719,0
22.98899,0,35650.76669,1924048.479,18814.14824,208321.5694,1756740.558,0,400.0064001,5201.081825,0
23.15929,0,37255.43609,1249388.71,18012.96934,120376.8458,910817.0406,0,1200.057603,5201.081825,600.0144003
23.32943,0,37656.63558,1276617.131,30437.01141,157789.6567,1440029.782,0,1800.129609,8202.690482,400.0064001
23.49965,400.0064001,34246.84969,1270566.371,19214.75693,116742.6197,899148.1805,0,200.0016,5201.081825,200.0016
