Time,7Li,24Mg,43Ca,66Zn,86Sr,88Sr,111Cd,137Ba,138Ba,208Pb
0.00825,0,9003.241167,3600.518475,2800.313635,1200.057603,0,0,0,0,0
0.17858,0,8803.098691,2600.270428,2000.160013,3400.462463,0,0,0,0,0
0.34887,0,5201.081825,2600.270428,1800.129609,1400.078404,0,0,0,0,0
0.51902,0,7602.311103,3400.462463,1800.129609,2000.160013,0,0,0,0,0
0.68927,200.0016,8602.959418,2000.160013,2400.230422,1200.057603,0,0,0,0,0
0.85946,0,7402.191049,3400.462463,3400.462463,2200.193617,0,0,0,0,0
1.02969,0,7402.191049,2800.313635,1800.129609,2000.160013,0,0,0,0,0
1.1999,0,9003.241167,2200.193617,2600.270428,2600.270428,0,0,0,0,0
1.37019,0,10004.0016,3000.360043,1800.129609,1800.129609,0,0,0,0,0
1.54043,200.0016,7402.191049,2600.270428,1800.129609,3800.577688,0,0,0,0,200.0016
1.71057,0,9003.241167,3000.360043,2400.230422,2400.230422,0,0,0,0,0
1.88078,0,5401.166652,2200.193617,1200.057603,2200.193617,0,0,0,0,0
2.051,0,9203.386846,2600.270428,1200.057603,1800.129609,0,0,0,0,0
2.22121,0,8202.690482,2200.193617,2600.270428,2400.230422,0,0,0,0,0
2.39151,0,6401.63882,4000.640102,1400.078404,2400.230422,0,0,0,0,0
2.56174,0,7402.191049,3600.518475,2200.193617,2600.270428,0,0,0,0,0
2.73188,0,5601.254681,2400.230422,2200.193617,2000.160013,0,0,0,0,0
2.90211,0,6801.850103,3800.577688,1600.102407,1800.129609,0,0,0,0,0
3.07231,200.0016,8002.560819,3200.409652,3000.360043,2400.230422,0,0,0,0,0
3.24252,200.0016,6201.537981,3200.409652,1600.102407,1800.129609,0,0,0,0,0
3.41283,0,8002.560819,3400.462463,2000.160013,2200.193617,0,0,0,0,0
3.58306,0,7602.311103,4400.774536,2600.270428,1800.129609,0,0,0,0,0
3.7532,200.0016,9003.241167,3400.462463,1400.078404,1800.129609,0,0,0,0,0
3.92341,0,9603.687816,3000.360043,3200.409652,800.0256008,0,0,0,0,0
4.09364,200.0016,8202.690482,3000.360043,2600.270428,1400.078404,0,0,0,0,0
4.26384,0,6401.63882,2600.270428,1800.129609,3600.518475,0,0,0,0,200.0016
4.43413,0,5201.081825,2600.270428,2600.270428,2200.193617,0,0,0,0,200.0016
4.60436,0,5801.345912,2000.160013,2200.193617,1400.078404,0,0,0,0,0
4.77452,0,9003.241167,3000.360043,2600.270428,2000.160013,0,0,0,0,200.0016
4.94472,0,7802.43436,2200.193617,1600.102407,2200.193617,0,0,0,0,0
5.11494,0,8602.959418,3200.409652,1400.078404,2000.160013,0,0,0,200.0016,200.0016
5.28529,0,13006.76352,3200.409652,3200.409652,3000.360043,1200.057603,0,0,0,200.0016
5.45552,200.0016,23622.29945,6601.74286,3000.360043,2600.270428,2000.160013,0,0,200.0016,600.0144003
5.62575,200.0016,24423.83767,4400.774536,3400.462463,3800.577688,1400.078404,0,200.0016,200.0016,400.0064001
5.79596,0,19615.37846,1800.129609,4200.705719,3000.360043,600.0144003,0,0,0,400.0064001
5.96632,0,14007.84439,4600.846556,4200.705719,1400.078404,7802.43436,0,400.0064001,0,200.0016
6.13663,200.0016,12205.95651,12205.95651,4000.640102,4400.774536,33043.61758,0,0,200.0016,0
6.30676,0,22820.81258,24223.4483,2800.313635,8402.823349,76231.7445,0,0,200.0016,400.0064001
6.47698,0,12806.55696,51907.55245,3400.462463,10004.0016,71001.07504,0,0,200.0016,0
6.64735,0,13006.76352,124214.1146,2800.313635,34647.95277,305487.8493,0,0,800.0256008,0
6.81765,0,17612.39913,134722.1105,4200.705719,21017.65483,270495.3826,0,0,400.0064001,200.0016
6.98779,0,19615.37846,140788.4151,3800.577688,60948.22609,498963.7221,0,200.0016,200.0016,400.0064001
7.15801,0,28031.39516,293403.4804,2800.313635,90929.52861,324764.7836,0,400.0064001,800.0256008,0
7.32838,0,20817.32001,372467.8277,3200.409652,96571.60755,797237.8382,0,0,1000.040002,0
7.49861,0,22620.44889,352501.1764,2800.313635,67582.20162,1063820.914,0,600.0144003,2800.313635,200.0016
7.66891,0,20416.65999,479628.5274,2400.230422,113109.4449,808103.3315,0,400.0064001,1600.102407,400.0064001
7.83905,0,31038.48772,557772.8343,2600.270428,104232.7745,1448871.794,0,200.0016,2400.230422,0
8.00927,0,21217.99286,668616.1125,2800.313635,170758.4252,1402054.714,0,400.0064001,1400.078404,0
8.17949,0,30036.04325,633874.4473,6001.440346,227247.0413,2735389.146,0,400.0064001,1000.040002,0
8.34976,0,30236.52572,755989.813,3600.518475,184958.334,2802668.752,0,400.0064001,1600.102407,0
8.51992,200.0016,36653.66096,898147.7645,2800.313635,156979.5524,1578508.109,0,400.0064001,2200.193617,0
8.69022,0,44679.7086,798607.0712,104636.1234,240083.6759,1754449.8,0,0,1400.078404,400.0064001
8.86036,200.0016,41669.33778,798941.6242,2800.313635,148881.3778,1217762.639,0,0,2000.160013,0
9.0306,0,38057.84793,691618.3664,3200.409652,223785.4243,1580149.075,0,0,3400.462463,200.0016
9.20081,0,27630.50408,845029.0705,4200.705719,167312.2921,1145157.917,0,0,1000.040002,200.0016
9.371,0,31840.50112,1013409.06,4000.640102,225007.063,1906022.644,0,400.0064001,3400.462463,0
9.54123,0,22219.73112,750259.5626,3000.360043,114925.9009,1062951.41,0,600.0144003,1400.078404,200.0016
9.71152,0,24824.62603,800645.6354,12806.55696,235191.9893,1560457.483,0,800.0256008,2600.270428,200.0016
