raw.time,adj.time,7Li,24Mg,43Ca,66Zn,86Sr,88Sr,111Cd,137Ba,138Ba,208Pb
62.98995,0,400.0064001,13407.18625,120376.8458,200.0016,35450.19748,262323.9721,0,200.0016,1000.040002,0
63.16018,0.17023,400.0064001,7602.311103,358414.2626,800.0256008,31639.99295,208524.9181,0,400.0064001,1200.057603,200.0016
63.33055,0.3406,0,9003.241167,161435.7719,1000.040002,23822.67919,275196.3377,0,800.0256008,600.0144003,0
63.50082,0.51087,400.0064001,18613.8487,151512.7126,600.0144003,25826.65311,211168.7494,0,0,2000.160013,0
63.67104,0.68109,0,12005.76277,166906.9267,800.0256008,22820.81258,245589.0907,0,200.0016,800.0256008,0
63.84119,0.85124,200.0016,16811.29719,183334.6764,600.0144003,36252.49361,298522.5663,0,200.0016,400.0064001,200.0016
64.0114,1.02145,200.0016,15209.24722,203645.4553,600.0144003,38459.07314,273765.4271,0,0,2200.193617,0
64.18162,1.19167,400.0064001,13006.76352,187800.2386,0,27830.94801,339549.9696,0,200.0016,800.0256008,0
64.35182,1.36187,200.0016,12205.95651,198564.6898,200.0016,32642.56591,294427.1318,0,0,200.0016,200.0016
64.52211,1.53216,200.0016,16210.50441,196126.6498,200.0016,25425.83265,292789.3293,0,400.0064001,400.0064001,0
64.69234,1.70239,200.0016,12806.55696,208118.2241,800.0256008,40666.04165,348799.4809,0,200.0016,1400.078404,0
64.86248,1.87253,0,17612.39913,183943.5235,600.0144003,48293.10911,441667.3451,0,0,800.0256008,0
65.03269,2.04274,200.0016,14608.53138,281126.1225,600.0144003,49497.80767,454723.1748,0,600.0144003,800.0256008,200.0016
65.20291,2.21296,400.0064001,15809.99191,229691.1078,1000.040002,57733.01687,380092.2617,0,200.0016,600.0144003,0
65.37311,2.38316,200.0016,15209.24722,318814.5123,800.0256008,42672.71431,341810.3378,0,200.0016,1400.078404,0
65.54335,2.5534,200.0016,20416.65999,312251.9399,800.0256008,46285.53567,383803.1029,0,0,1800.129609,0
65.71364,2.72369,200.0016,21819.02619,238656.7381,400.0064001,66777.89632,521662.7874,0,200.0016,800.0256008,0
65.88379,2.89384,200.0016,19815.69403,308561.9878,400.0064001,63159.16109,634925.8433,0,0,1200.057603,0
66.05399,3.06404,200.0016,14808.76679,250484.8093,1000.040002,76030.52455,456589.3872,0,0,1600.102407,0
66.22422,3.23427,400.0064001,17211.84175,323533.4635,1200.057603,51907.55245,409396.1914,0,200.0016,2000.160013,0
66.39444,3.40449,200.0016,17011.56787,357232.6942,400.0064001,36252.49361,343865.568,0,0,1200.057603,0
66.56465,3.5747,0,19815.69403,295041.3625,1000.040002,127648.4541,416836.1122,0,400.0064001,1600.102407,0
