raw.time,adj.time,7Li,24Mg,43Ca,66Zn,86Sr,88Sr,111Cd,137Ba,138Ba,208Pb
55.67111,0,0,5601.254681,301185.3099,800.0256008,30637.5003,337290.0045,0,200.0016,1000.040002,0
55.8414,0.17029,200.0016,9003.241167,216661.5561,800.0256008,42672.71431,522496.5494,200.0016,400.0064001,1600.102407,200.0016
56.01154,0.34043,200.0016,7001.960549,219307.0945,800.0256008,43876.87228,263345.1094,0,400.0064001,1000.040002,0
56.18177,0.51066,0,5601.254681,156372.0084,1400.078404,36453.07568,317583.7708,0,0,0,0
56.352,0.68089,1000.040002,5001.0002,191455.0584,800.0256008,31238.98625,294017.6613,0,200.0016,1000.040002,0
56.52219,0.85108,400.0064001,9603.687816,206288.2631,400.0064001,50702.62211,384627.8817,0,200.0016,1600.102407,200.0016
56.69242,1.02131,0,12205.95651,240899.1414,400.0064001,49096.22861,406504.065,0,200.0016,1800.129609,200.0016
56.8627,1.19159,200.0016,7001.960549,269882.3434,600.0144003,65973.64263,261711.3294,0,0,1000.040002,0
57.03286,1.36175,0,4600.846556,187394.2129,800.0256008,45482.5964,347565.8226,0,600.0144003,2000.160013,0
57.20309,1.53198,400.0064001,5401.166652,346949.0384,200.0016,39462.19242,373291.87,0,400.0064001,2200.193617,0
57.3733,1.70219,0,7202.074197,286854.0726,600.0144003,67381.12045,471944.1818,0,200.0016,1600.102407,0
57.54351,1.8724,0,5801.345912,189830.5631,1000.040002,46486.27853,466132.0816,0,0,2000.160013,0
57.71373,2.04262,0,5801.345912,236414.7332,400.0064001,51104.25268,347360.2245,0,0,1400.078404,0
57.88404,2.21293,400.0064001,6601.74286,558089.3511,400.0064001,42271.35405,400308.8678,0,200.0016,1200.057603,0
58.05417,2.38306,400.0064001,4200.705719,539391.9582,400.0064001,34447.39962,327433.0545,0,400.0064001,2200.193617,0
58.22438,2.55327,0,8202.690482,183131.734,1000.040002,33244.14823,278672.081,0,0,1200.057603,0
